$DEPARTAMENTO PREVENCIÓN - COMITÉ PARITARIO - PERMISOS,,,,,,,,
Cuenta con Sistema de Gestión para la Vigilancia de los trabajadores expuestos ocupacionalmente a ruido (según PREXOR),,,,,,,,
"Existe programa de protección auditiva, (revisar guía técnica de selección y control de protectores auditivos del Instituto de Salud Pública, ISP) y su difusión a los trabajadores, comités paritarios, sindicatos y empleadores",,,,,,,,
$SELECCIÓN Y CONTROL DE EPP CAÍDA DE ALTURA,,,,,,,,
"Se realiza según Guía N° 3 del Instituto de Salud Pública (Selección, Evaluación de riesgos y condiciones de trabajo, Puntos de anclaje, Certificación de calidad de los equipos, capacitación sobre el uso y cuidado, etc.)",,,,,,,,
$SANEAMIENTO BÁSICO,,,,,,,,
"Comedor reglamentario (mesones y banca material lavable, sistema de refrigeración, piso sólido, aislamiento de áreas de trabajo, etc.)",,,,,,,,
$Cuenta con suministro de agua potable y lavaplatos,,,,,,,,
Servicios higiénicos en cantidad y estado reglamentarios/ B. Quimicos,,,,,,,,
$Duchas poseen agua caliente,,,,,,,,
"Cuenta con sala de vestir (próx. a duchas, uso exclusivo)",,,,,,,,
"Emisiones Atmosfericas: Se observan emisiones fugitivas de material particulado (carga y descarga de escombro, corte y/o pulido, etc.)",,,,,,,,
Casilleros en buen estado y en número suficiente (lockers),,,,,,,,
$ALMACENAMIENTO,,,,,,,,
"Almacenamiento de Productos Químicos (desmoldantes, adhesivos, pinturas, etc.): Se almacenan en obra productos químicos.",,,,,,,,
"Almacenamiento en lugar exclusivo, señalizado, con acceso restringido.",,,,,,,,
Lugar de almacenamiento de productos químicos tiene piso impermeabilizado y control de derrames,,,,,,,,
Los productos químicos están etiquetados español y se encuentran con sus hojas de seguridad,,,,,,,,
Existe encargado del manejo y entrega de productos químicos,,,,,,,,
Se encuentran en sus envases originales y éstos están en buen estado,,,,,,,,
Bodega de almacenamiento de combustibles cuenta con un extintor con potencial de extinción 40 B,,,,,,,,
"Almacenamiento de Materiales áridos, hierros y escombros: Se almacenan en obra.",,,,,,,,
Los acopios de materiales áridos tienen zona reservada (exclusiva),,,,,,,,
"Los acopios de tubos o elementos que rueden, cuentan con fijación que impida su deslizamiento.",,,,,,,,
Existe zona definida para acopio de escombros,,,,,,,,
$SEGURIDAD INDUSTRIAL,,,,,,,,
"De la Instalación Eléctrica NCH 350 Of. 2000: Existen tableros eléctricos móviles, para distribución en la obra, con interruptores termo magnético, diferencial, tapa y puerta, con señalética de riesgo eléctrico.",,,,,,,,
"Cuenta con extensiones eléctrica, con enchufes en buen estado y no sobre cargado, sin uniones o derivaciones aisladas en forma deficiente",,,,,,,,
"De los Elementos de Protección Personal: EPP Adecuados al riesgo, buen estado, los trabajadores utilizan los EPP correctamente.",,,,,,,,
"De La Señalización de la Obra y vías de escape: Está señalizada la entrada a la obra, se encuentra delimitada y con control de las zonas de circulación de vehículos y peatones",,,,,,,,
"Existe señalización de uso obligatorio de elementos de protección (casco, calzados de seguridad, guantes, etc.)",,,,,,,,
Existe señalización de prohibido fumar en las instalaciones.,,,,,,,,
Existe cierre perimetral.,,,,,,,,
Existe señalización de advertencia por presencia de camiones.,,,,,,,,
Existe acceso restringido a la Obra,,,,,,,,
Las vías de escape se encuentran señalizadas y libres de obstáculos,,,,,,,,
Los pasillos se encuentran libres de todo obstáculo que impida un fácil y seguro desplazamiento,,,,,,,,
$RADIACION ULTRAVIOLETA DE ORIGEN SOLAR,,,,,,,,
Cuenta con señalización de los niveles de radiación Ultravioleta (indicado por la dirección meteorológica de chile),,,,,,,,
De los elementos de proteccion personal para proteccion UV,Gorros con protección de cara y cuello (legionario),Uso ropa protectora adecuada,"Gafas certificadas, con filtro UV",Filtro solar con FPS igual o mayor a 30 y PPD igual o Mayor a 4,Otros E.P.P. acordes a los riesgos específicos,,,
"Existen áreas de descanso con protección contra Radiación solar (techo, malla, carpas, otros).",,,,,,,,
$MAQUINARIAS Y EQUIPOS,,,,,,,,
Cuenta con Grúa Torre,,,,,,,,
"Escala de acceso a la cabina, cuenta con descansos y respaldo de Seguridad, y/o línea de vida vertical si corresponde",,,,,,,,
La grúa cuenta con letrero que indique,Marca y modelo de la grúa,Longitud máxima de la grúa,Carga máxima en punta,Carga máxima de levante,,,,
Cuenta con Elevador de Plataforma,,,,,,,,
El operario utiliza los EPP acordes al riesgo de caídas de altura,,,,,,,,
El área de comandos está protegida de caída de materiales,,,,,,,,
Cuenta con letrero que indique:  ̄ Altura máx. de levante  ̄ Carga máx. de levante  ̄ Uso exclusivo materiales,,,,,,,,
Cuenta con Equipos de Movimiento de Tierra,,,,,,,,
Equipos de movimiento de tierras cuentan con alarma audio visual,,,,,,,,
Están protegidas las partes móviles y transmisiones de maquinarias,,,,,,,,
$EXCAVACIONES,,,,,,,,
"Se entiban las zanjas con profundidad superior a 1,2 m., cuando no existe un estudio de mecánica de suelos que indique lo contrario (madera; hormigón proyectado con malla acma)",,,,,,,,
Se colocan rodapiés o similares para evitar caídas de objetos.,,,,,,,,
Se señaliza la presencia de zanjas o excavaciones.,,,,,,,,
"El borde de la excavación se encuentra libre de todo material que signifiquen caída de materiales y riesgo de atrapamiento. ( 0,5 mts mínimo )",,,,,,,,
"Si la excavación se realiza mediante pala mecánica o retroexcavadora, se establece una zona de seguridad superior a 1.5 mts al radio de giro de la maquinaria pesada.",,,,,,,,
Se adoptan medidas para evitar derrumbes en excavaciones.,,,,,,,,
$FAENAS ESPECÍFICAS,,,,,,,,
Del Trabajo en Andamios: Cuenta con faenas en andamios,,,,,,,,
Se manejan criterios de capacidad de soporte de los andamios.,,,,,,,,
Está señalizada la capacidad de soporte de los andamios.,,,,,,,,
"Plataformas, andamios y pasarelas están protegidas con rodapiés, doble baranda y superficie antideslizante",,,,,,,,
Pie derechos apoyados en base sólida asegurando verticalidad de la estructura (para andamios fijos).,,,,,,,,
"El anclaje del andamio está unido a la estructura, cuerpo por medio.",,,,,,,,
"Andamios se encuentran con la totalidad de sus dispositivos originales (chavetas, crucetas, etc.)",,,,,,,,
"Existen trabajos en altura (losas, fachadas, etc)",,,,,,,,
Trabajos en altura se realizan con mallas perimetrales y redes de seguridad.,,,,,,,,
"Trabajadores en altura utilizan elementos de protección para riesgo de caída (Arnés, certificado según NCh 1258)",,,,,,,,
Cuerda de vida con anclaje a la estructura de la construcción y protección perimetral rigida.,,,,,,,,
Pantalla de protección NCH2458 of 99: Existen redes de protección perimetral.,,,,,,,,
$Otras Medidas Generales de Seguridad,,,,,,,,
"Escalas de mano en buen estado, afianzadas, se encuentran proyectadas sobre punto de apoyo ( 1 mt mínimos)",,,,,,,,
Se encuentran señalizadas áreas de riesgo,,,,,,,,
Las superficies de trabajo permanecen limpias y sólo con los materiales en uso.,,,,,,,,
"Control de incendio: Aplica SÓLO para actividades al interior de la faena que tienen riesgo: pegado de alfombras, techos, etc e instalaciones de faenas y bodegas",,,,,,,,
Extintores en cantidad suficiente para carga combustible,,,,,,,,
Extintores bien ubicados y señalizados,,,,,,,,
